sample_size,repeat,model,class,precision,recall,f1_score,support
1400,1,FS_PCA_RandomForest,2,0.9166666666666666,0.7333333333333333,0.8148148148148148,60.0
1400,1,FS_PCA_RandomForest,3,0.8392857142857143,0.7833333333333333,0.8103448275862069,60.0
1400,1,FS_PCA_RandomForest,4,0.9333333333333333,0.9333333333333333,0.9333333333333333,60.0
1400,1,FS_PCA_RandomForest,5,0.9344262295081968,0.95,0.9421487603305785,60.0
1400,1,FS_PCA_RandomForest,6,0.8333333333333334,0.9166666666666666,0.873015873015873,60.0
1400,1,FS_PCA_RandomForest,7,0.9508196721311475,0.9666666666666667,0.9586776859504132,60.0
1400,2,FS_PCA_L1_Logistic,1,0.896551724137931,0.8666666666666667,0.8813559322033898,60.0
1400,2,FS_PCA_L1_Logistic,2,0.8688524590163934,0.8833333333333333,0.8760330578512396,60.0
1400,2,FS_PCA_L1_Logistic,3,0.9464285714285714,0.8833333333333333,0.9137931034482759,60.0
1400,2,FS_PCA_L1_Logistic,4,1.0,0.9333333333333333,0.9655172413793104,60.0
1400,2,FS_PCA_L1_Logistic,5,0.9661016949152542,0.95,0.957983193277311,60.0
1400,2,FS_PCA_L1_Logistic,6,0.782608695652174,0.9,0.8372093023255814,60.0
1400,2,FS_PCA_L1_Logistic,7,0.9508196721311475,0.9666666666666667,0.9586776859504132,60.0
1400,2,FS_PCA_Shrinkage_LDA,1,0.875,0.9333333333333333,0.9032258064516129,60.0
1400,2,FS_PCA_Shrinkage_LDA,2,0.9791666666666666,0.7833333333333333,0.8703703703703703,60.0
1400,2,FS_PCA_Shrinkage_LDA,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,60.0
1400,2,FS_PCA_Shrinkage_LDA,4,0.9821428571428571,0.9166666666666666,0.9482758620689655,60.0
1400,2,FS_PCA_Shrinkage_LDA,5,1.0,0.9333333333333333,0.9655172413793104,60.0
1400,2,FS_PCA_Shrinkage_LDA,6,0.7837837837837838,0.9666666666666667,0.8656716417910447,60.0
1400,2,FS_PCA_Shrinkage_LDA,7,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0
1400,2,FS_PCA_RBF_SVM,1,0.8787878787878788,0.9666666666666667,0.9206349206349206,60.0
1400,2,FS_PCA_RBF_SVM,2,0.9473684210526315,0.9,0.9230769230769231,60.0
